Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2018-12-27,DASHBTC,0.02179,0.022,0.02063,0.02085,59774.39,1271.93
2018-12-26,DASHBTC,0.02189,0.02256,0.02132,0.02179,57949.58,1268.67
2018-12-25,DASHBTC,0.02237,0.02243,0.02119,0.02189,58627.86,1273.0
2018-12-24,DASHBTC,0.02263,0.02449,0.02227,0.02237,42506.78,988.26
2018-12-23,DASHBTC,0.02177,0.02287,0.02162,0.02263,8403.53,186.33
2018-12-22,DASHBTC,0.02186,0.02389,0.02126,0.02177,11263.66,250.61
2018-12-21,DASHBTC,0.02366,0.02389,0.02146,0.02186,26927.48,607.5
2018-12-20,DASHBTC,0.01964,0.02463,0.01943,0.02366,10975.17,230.68
2018-12-19,DASHBTC,0.01985,0.02089,0.01935,0.01964,10121.8,204.75
2018-12-18,DASHBTC,0.02013,0.02026,0.01934,0.01985,5371.64,106.53
2018-12-17,DASHBTC,0.01942,0.0205,0.0192,0.02013,6714.61,132.98
2018-12-16,DASHBTC,0.01918,0.0201,0.01891,0.01942,4963.3,96.02
2018-12-15,DASHBTC,0.01814,0.02032,0.01792,0.01918,6440.57,120.38
2018-12-14,DASHBTC,0.01824,0.01857,0.01812,0.01814,3748.58,68.45
2018-12-13,DASHBTC,0.01855,0.01891,0.01815,0.01824,3866.63,71.65
2018-12-12,DASHBTC,0.01858,0.01941,0.01852,0.01855,4242.55,80.37
2018-12-11,DASHBTC,0.0196,0.01995,0.01832,0.0186,4115.65,78.68
2018-12-10,DASHBTC,0.0211,0.02132,0.01934,0.0196,4347.6,87.36
2018-12-09,DASHBTC,0.01977,0.02125,0.01961,0.0211,5167.48,104.77
2018-12-08,DASHBTC,0.01988,0.02016,0.01898,0.01977,5403.44,106.02
2018-12-07,DASHBTC,0.01849,0.01991,0.0176,0.01988,6863.83,126.22
2018-12-06,DASHBTC,0.02074,0.02077,0.01813,0.01849,5448.71,107.04
2018-12-05,DASHBTC,0.02161,0.02162,0.02057,0.02074,4044.13,85.01
2018-12-04,DASHBTC,0.02172,0.02195,0.0214,0.02161,3239.32,70.06
2018-12-03,DASHBTC,0.02241,0.02256,0.0214,0.02172,3257.72,71.84
2018-12-02,DASHBTC,0.02259,0.02288,0.0221,0.02241,3373.8,75.66
2018-12-01,DASHBTC,0.02291,0.02298,0.02251,0.02259,3146.28,71.63
2018-11-30,DASHBTC,0.02258,0.02302,0.02204,0.02288,3534.07,79.89
2018-11-29,DASHBTC,0.02334,0.02346,0.02237,0.02258,3364.19,76.53
2018-11-28,DASHBTC,0.02339,0.02364,0.02281,0.02334,3717.45,86.07
2018-11-27,DASHBTC,0.02361,0.0244,0.02305,0.02339,5488.72,129.1
2018-11-26,DASHBTC,0.02271,0.024,0.02241,0.02361,3726.77,85.85
2018-11-25,DASHBTC,0.02386,0.02388,0.02229,0.02271,4570.14,105.06
2018-11-24,DASHBTC,0.02283,0.02424,0.02282,0.02386,4500.09,105.21
2018-11-23,DASHBTC,0.02333,0.02388,0.0225,0.02283,5957.69,138.28
2018-11-22,DASHBTC,0.0248,0.02526,0.02333,0.02333,5261.01,128.83
2018-11-21,DASHBTC,0.02353,0.02494,0.02333,0.0248,4763.66,114.95
2018-11-20,DASHBTC,0.02252,0.02381,0.02241,0.02353,4708.59,108.06
2018-11-19,DASHBTC,0.02358,0.02366,0.02184,0.02252,5349.27,120.57
2018-11-18,DASHBTC,0.02386,0.02439,0.02348,0.02358,3296.79,78.93
2018-11-17,DASHBTC,0.02457,0.02465,0.02356,0.02386,4406.61,105.55
2018-11-16,DASHBTC,0.02452,0.02515,0.02429,0.02457,3133.96,77.25
2018-11-15,DASHBTC,0.02511,0.02521,0.02389,0.02452,4291.16,105.12
2018-11-14,DASHBTC,0.02533,0.02605,0.02312,0.02511,6542.73,162.6
2018-11-13,DASHBTC,0.02549,0.02582,0.02506,0.02533,2999.42,76.16
2018-11-12,DASHBTC,0.02498,0.0263,0.02491,0.02549,3675.7,93.68
2018-11-11,DASHBTC,0.02515,0.02527,0.02487,0.02498,3981.35,100.02
2018-11-10,DASHBTC,0.025,0.02558,0.02474,0.02515,3047.09,76.62
2018-11-09,DASHBTC,0.02552,0.02558,0.02493,0.025,3000.05,76.03
2018-11-08,DASHBTC,0.02544,0.02687,0.02543,0.02552,11510.5,298.95
2018-11-07,DASHBTC,0.02629,0.02635,0.02507,0.02544,6634.37,169.3
2018-11-06,DASHBTC,0.02548,0.02705,0.02548,0.02629,6470.43,168.6
2018-11-05,DASHBTC,0.02559,0.02621,0.02517,0.02548,4558.35,117.15
2018-11-04,DASHBTC,0.02445,0.02657,0.02382,0.02559,5799.52,146.5
2018-11-03,DASHBTC,0.02417,0.02446,0.02411,0.02445,2859.62,69.57
2018-11-02,DASHBTC,0.02411,0.02432,0.02397,0.02417,3266.9,78.87
2018-11-01,DASHBTC,0.02404,0.02424,0.02394,0.02411,2835.05,68.27
2018-10-31,DASHBTC,0.02432,0.02525,0.02392,0.02404,3756.82,91.67
2018-10-30,DASHBTC,0.02373,0.02435,0.02371,0.02432,3608.16,87.19
2018-10-29,DASHBTC,0.02413,0.02424,0.02363,0.02373,3198.05,76.55
2018-10-28,DASHBTC,0.02369,0.02425,0.02368,0.02413,3008.46,72.19
2018-10-27,DASHBTC,0.02406,0.0242,0.02368,0.02369,2789.83,66.95
2018-10-26,DASHBTC,0.02405,0.02417,0.02366,0.02406,3105.34,74.47
2018-10-25,DASHBTC,0.02406,0.02417,0.02392,0.02405,3074.51,73.98
2018-10-24,DASHBTC,0.02374,0.02461,0.02373,0.02406,3288.8,79.55
2018-10-23,DASHBTC,0.02351,0.02386,0.02346,0.02374,2989.42,70.77
2018-10-22,DASHBTC,0.0238,0.02381,0.02341,0.02351,3126.76,73.82
2018-10-21,DASHBTC,0.02387,0.02406,0.02372,0.0238,4229.45,101.27
2018-10-20,DASHBTC,0.02377,0.02423,0.02368,0.02387,2990.2,71.57
2018-10-19,DASHBTC,0.02377,0.02394,0.0236,0.02377,2792.99,66.34
2018-10-18,DASHBTC,0.02436,0.02446,0.02369,0.02377,2918.02,70.56
2018-10-17,DASHBTC,0.02474,0.02497,0.02425,0.02436,2998.73,74.05
2018-10-16,DASHBTC,0.02494,0.02497,0.02494,0.02497,0.0,0.0
2018-10-15,DASHBTC,0.02511,0.02576,0.02409,0.02494,4216.04,103.85
2018-10-14,DASHBTC,0.0258,0.02598,0.02504,0.02511,2761.91,70.45
2018-10-13,DASHBTC,0.02521,0.0258,0.02515,0.0258,2859.78,72.41
2018-10-12,DASHBTC,0.0251,0.02596,0.02445,0.02521,2989.47,75.27
2018-10-11,DASHBTC,0.02708,0.02739,0.0251,0.0251,3722.56,97.96
2018-10-10,DASHBTC,0.02729,0.02739,0.02698,0.02708,2778.75,75.47
2018-10-09,DASHBTC,0.02748,0.02757,0.02713,0.02729,2665.94,72.85
2018-10-08,DASHBTC,0.02738,0.02766,0.02709,0.02748,2856.13,78.24
2018-10-07,DASHBTC,0.02744,0.02774,0.02707,0.02738,2742.49,75.15
2018-10-06,DASHBTC,0.02761,0.02849,0.02736,0.02744,2909.81,80.65
2018-10-05,DASHBTC,0.02752,0.02774,0.02734,0.02761,2773.07,76.29
2018-10-04,DASHBTC,0.02737,0.02763,0.02728,0.02752,2822.43,77.57
2018-10-03,DASHBTC,0.02782,0.02807,0.02718,0.02737,3132.52,86.18
2018-10-02,DASHBTC,0.02843,0.0285,0.02752,0.02782,2904.55,81.82
