Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2018-09-17,ETHBTC,0.0338,0.0349,0.0312,0.0316,180.06,5.889
2018-09-16,ETHBTC,0.0341,0.0343,0.0325,0.0338,96.85,3.247
2018-09-15,ETHBTC,0.0324,0.0346,0.0321,0.0341,75.18,2.509
2018-09-14,ETHBTC,0.0326,0.034,0.0313,0.0324,103.33,3.41
2018-09-13,ETHBTC,0.029,0.033,0.029,0.0326,218.15,6.673
2018-09-12,ETHBTC,0.0293,0.0293,0.027,0.029,378.2,10.68
2018-09-11,ETHBTC,0.0312,0.0312,0.0286,0.0293,256.69,7.629
2018-09-10,ETHBTC,0.0313,0.032,0.03,0.0312,177.92,5.498
2018-09-09,ETHBTC,0.0319,0.0332,0.03,0.0313,150.45,4.685
2018-09-08,ETHBTC,0.0338,0.0343,0.0311,0.0319,237.56,7.893
2018-09-07,ETHBTC,0.0354,0.0358,0.0337,0.0338,92.38,3.192
2018-09-06,ETHBTC,0.0352,0.0358,0.0344,0.0354,104.02,3.659
2018-09-05,ETHBTC,0.0388,0.039,0.033,0.0352,166.79,6.085
2018-09-04,ETHBTC,0.0397,0.04,0.0386,0.0388,120.95,4.731
2018-09-03,ETHBTC,0.0404,0.0404,0.0395,0.0397,120.12,4.759
2018-09-02,ETHBTC,0.041,0.0413,0.04,0.0404,30.89,1.255
2018-09-01,ETHBTC,0.0403,0.0416,0.0401,0.041,40.27,1.651
2018-08-31,ETHBTC,0.0407,0.0407,0.0399,0.0403,58.12,2.331
2018-08-30,ETHBTC,0.0411,0.0413,0.0401,0.0407,103.76,4.232
2018-08-29,ETHBTC,0.0417,0.0429,0.0411,0.0411,333.79,13.9
2018-08-28,ETHBTC,0.0418,0.0418,0.0408,0.0417,45.8,1.892
2018-08-27,ETHBTC,0.0411,0.0418,0.0407,0.0418,89.06,3.669
2018-08-26,ETHBTC,0.0413,0.0414,0.0404,0.0411,85.05,3.492
2018-08-25,ETHBTC,0.0421,0.0421,0.0413,0.0413,18.13,0.7535
2018-08-24,ETHBTC,0.0423,0.0428,0.0418,0.0421,148.11,6.243
2018-08-23,ETHBTC,0.0424,0.043,0.042,0.0423,103.23,4.394
2018-08-22,ETHBTC,0.0433,0.044,0.0416,0.0424,158.19,6.791
2018-08-21,ETHBTC,0.0434,0.0441,0.0427,0.0433,53.07,2.3
2018-08-20,ETHBTC,0.0462,0.0474,0.0431,0.0434,87.7,3.996
2018-08-19,ETHBTC,0.0459,0.0474,0.0456,0.0462,71.64,3.356
