Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-06-29,LTCUSD,119.74,136.28,115.01,133.61,22184.71,2854123.04
2019-06-28,LTCUSD,114.1,121.69,112.43,119.74,9596.61,1122519.63
2019-06-27,LTCUSD,130.81,132.18,109.88,114.1,28893.65,3388120.14
2019-06-26,LTCUSD,135.5,138,125.77,130.81,31279.72,4181728.08
2019-06-25,LTCUSD,135.53,138.2,128.88,135.5,13213.52,1770117.29
2019-06-24,LTCUSD,136.54,136.58,132.2,135.53,11814.04,1592841.6
2019-06-23,LTCUSD,141.63,141.99,135.73,136.54,4361.25,608051.73
2019-06-22,LTCUSD,139.34,146.08,137,141.63,25929.27,3641121.96
2019-06-21,LTCUSD,135.68,142.11,135.6,139.34,40126.95,5533864.37
2019-06-20,LTCUSD,136.69,137.04,133.52,135.68,12040.76,1631714.94
2019-06-19,LTCUSD,135.37,139.63,133.72,136.69,11899.02,1630822.98
2019-06-18,LTCUSD,134.16,136.98,129,135.37,11621.13,1546137.24
2019-06-17,LTCUSD,136.7,137.34,132.35,134.16,6562.97,881576.06
2019-06-16,LTCUSD,138.57,139.21,133.79,136.7,4373.6,595810.97
2019-06-15,LTCUSD,132.92,139.9,132.9,138.57,8740.6,1192473.38
2019-06-14,LTCUSD,131.26,133.01,125,132.92,43611.73,5592951.27
2019-06-13,LTCUSD,136.34,137,128.17,131.26,17789.62,2368305.16
2019-06-12,LTCUSD,136.26,144.13,130.75,136.34,31628.19,4365226.84
2019-06-11,LTCUSD,130.32,138.8,125.55,136.26,22993.92,3054853.21
2019-06-10,LTCUSD,115.29,132,112.54,130.32,40857.05,5157909.37
2019-06-09,LTCUSD,118.63,119.4,111.8,115.29,3438.24,396533.32
2019-06-08,LTCUSD,118.14,120,113.82,118.63,6451.05,748007.6
2019-06-07,LTCUSD,111.51,121.28,110.15,118.14,35475.96,4113161.73
2019-06-06,LTCUSD,103.74,112.31,101.09,111.51,10303.71,1099868.5
2019-06-05,LTCUSD,102,105.7,100.02,103.74,10934.34,1123674.28
2019-06-04,LTCUSD,106.27,106.35,97.65,102,22991.64,2352120.65
2019-06-03,LTCUSD,114.66,120.88,104.82,106.27,59312.22,6652801.95
2019-06-02,LTCUSD,112.94,116.83,111.72,114.66,3505.19,401843.6
2019-06-01,LTCUSD,113.21,115.96,111.12,112.94,10128.71,1150225.35
2019-05-31,LTCUSD,108.37,113.28,104.77,113.21,19343.47,2104954.7
2019-05-30,LTCUSD,114.71,120.87,102,108.37,51413.27,5769928.02
2019-05-29,LTCUSD,114.92,118.52,108.77,114.71,12646.93,1455395.67
2019-05-28,LTCUSD,116.2,118.42,111.7,114.92,12398.31,1419899.89
2019-05-27,LTCUSD,112.21,122,110.48,116.2,19065.7,2196372.48
2019-05-26,LTCUSD,102.85,114.77,99.7,112.21,15642.47,1673543.14
2019-05-25,LTCUSD,101.02,105.28,99.04,102.85,8579.0,881768.93
2019-05-24,LTCUSD,89.02,103.99,88.5,101.02,16782.24,1638244.81
2019-05-23,LTCUSD,87.9,89.88,84.8,89.02,5124.92,447626.12
2019-05-22,LTCUSD,91.19,92.37,85.55,87.9,22411.19,2004346.84
2019-05-21,LTCUSD,91.73,93.67,89.49,91.19,7676.79,702800.45
2019-05-20,LTCUSD,95.28,95.28,87.77,91.73,13111.58,1189920.93
2019-05-19,LTCUSD,87.2,97.32,86.32,95.28,6926.06,644043.15
2019-05-18,LTCUSD,90.11,90.94,85.39,87.2,3326.04,292769.39
2019-05-17,LTCUSD,95.9,97.69,82.76,90.11,25668.82,2309528.12
2019-05-16,LTCUSD,102.7,107.37,91,95.9,44179.78,4327866.01
2019-05-15,LTCUSD,91.56,107.28,90.67,102.7,38672.56,3804069.88
2019-05-14,LTCUSD,87.83,94.58,86.24,91.56,16517.45,1485760.86
2019-05-13,LTCUSD,84.57,93.51,84.53,87.83,48742.36,4353272.88
2019-05-12,LTCUSD,88.18,94.16,82.61,84.57,17227.04,1504044.42
2019-05-11,LTCUSD,77.65,96,76.42,88.18,21727.18,1918661.28
2019-05-10,LTCUSD,73.84,79.19,72.4,77.65,9572.34,725066.85
2019-05-09,LTCUSD,73.87,75.49,72.28,73.84,11448.81,842360.44
2019-05-08,LTCUSD,73.21,74.86,71.5,73.87,4713.98,344168.57
2019-05-07,LTCUSD,74.35,77.99,72.83,73.21,3513.5,264316.19
2019-05-06,LTCUSD,74.87,76.03,70.92,74.35,21852.48,1595915.12
2019-05-05,LTCUSD,76.94,77.45,74.58,74.87,6275.35,473738.81
2019-05-04,LTCUSD,77.89,81.51,73.51,76.94,9352.37,722938.73
2019-05-03,LTCUSD,72.41,79.5,72,77.89,11550.23,884973.2
2019-05-02,LTCUSD,72.57,75.5,71.5,72.41,13799.11,999689.86
2019-05-01,LTCUSD,73.22,74.66,71.2,72.57,3647.52,264297.3
2019-04-30,LTCUSD,66.43,73.9,66.43,73.22,9983.23,706753.28
2019-04-29,LTCUSD,67.91,68.4,65.1,66.43,5689.02,376755.64
