Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-05-14,LTCEUR,120.85,124.87,115.17,124.78,3.687,452.49
2018-05-13,LTCEUR,129.99,129.99,115.45,120.85,2.938,349.9
2018-05-12,LTCEUR,135,135,114.28,129.99,5.625,672.56
2018-05-11,LTCEUR,129.54,135,120,135,152.26,18434.66
2018-05-10,LTCEUR,132.88,134.36,128.32,129.54,4.025,522.93
2018-05-09,LTCEUR,134.1,134.1,131.56,132.88,2.978,394.93
2018-05-08,LTCEUR,134.1,134.1,134.1,134.1,0.0,0.0
2018-05-07,LTCEUR,152.98,152.98,134.02,134.1,0.7726,103.61
2018-05-06,LTCEUR,147,152.98,147,152.98,0.4033,61.7
2018-05-05,LTCEUR,138.96,147,133.03,147,119.31,16857.62
2018-05-04,LTCEUR,130.87,141,130.02,138.96,8.129,1139.64
2018-05-03,LTCEUR,129.95,130.87,127.99,130.87,4.862,631.29
2018-05-02,LTCEUR,125.01,129.95,125.01,129.95,0.002539,0.3299
2018-05-01,LTCEUR,125.01,125.01,125.01,125.01,0.0,0.0
2018-04-30,LTCEUR,131.98,138.96,123.51,125.01,4.847,641.27
2018-04-29,LTCEUR,123.29,132,122.54,131.98,5.763,752.47
2018-04-28,LTCEUR,126.47,126.47,119.01,123.29,1.137,138.95
2018-04-27,LTCEUR,123.99,126.47,119,126.47,8.255,1024.83
2018-04-26,LTCEUR,118.09,133.79,118.09,123.99,2.17,282.8
2018-04-25,LTCEUR,130,133.8,108.2,118.09,17.26,2043.79
2018-04-24,LTCEUR,135,136.99,122.05,130,4.998,664.09
2018-04-23,LTCEUR,123,137,123,135,6.103,834.81
2018-04-22,LTCEUR,111,123,111,123,1.404,172.71
2018-04-21,LTCEUR,125.89,147,101.5,111,34.0,4261.64
2018-04-20,LTCEUR,118.59,125.89,118.59,125.89,2.527,313.41
2018-04-19,LTCEUR,117.99,118.59,115.99,118.59,0.7352,86.05
2018-04-18,LTCEUR,112.66,117.99,112.66,117.99,2.039,232.84
2018-04-17,LTCEUR,106,113.5,106,112.66,1.959,217.46
2018-04-16,LTCEUR,110,110,106,106,10.91,1183.04
2018-04-15,LTCEUR,105,113.99,105,110,51.5,5665.13
2018-04-14,LTCEUR,105,106,105,105,3.83,403.84
2018-04-13,LTCEUR,104.99,114,104.99,105,13.8,1457.91
2018-04-12,LTCEUR,94,104.99,94,104.99,22.78,2374.37
2018-04-11,LTCEUR,92.01,98.99,90,94,1.688,158.65
2018-04-10,LTCEUR,105.95,105.95,92,92.01,1.11,103.84
2018-04-09,LTCEUR,105.99,105.99,94.8,105.95,2.312,231.18
2018-04-08,LTCEUR,92.75,105.99,92.75,105.99,0.4244,44.98
2018-04-07,LTCEUR,92.75,92.75,92.75,92.75,0.0,0.0
2018-04-06,LTCEUR,96,109,92.1,92.75,2.317,235.15
2018-04-05,LTCEUR,94.36,100.89,94.36,98.42,0.7501,74.87
2018-04-04,LTCEUR,109.68,109.68,94.36,94.36,1.235,119.99
2018-04-03,LTCEUR,97.03,110.9,97.03,109.68,3.854,408.04
2018-04-02,LTCEUR,94.99,97.03,94.99,97.03,0.5354,51.95
2018-04-01,LTCEUR,96.22,109.78,92.13,94.99,0.8497,81.8
2018-03-31,LTCEUR,95.01,110.78,95.01,96.22,8.098,844.86
2018-03-30,LTCEUR,99.99,113.78,93.1,95.01,2.569,264.36
2018-03-29,LTCEUR,103.25,119,95.51,99.99,85.52,8808.07
2018-03-28,LTCEUR,114,128.99,103.1,103.25,126.15,14020.6
2018-03-27,LTCEUR,113,120.02,113,114,2.75,324.18
2018-03-26,LTCEUR,137.9,137.9,113,113,4.088,483.38
2018-03-25,LTCEUR,111,137.9,111,137.9,0.8074,110.29
2018-03-24,LTCEUR,129.65,144.79,110.01,111,9.946,1303.56
2018-03-23,LTCEUR,129.65,129.65,129.65,129.65,0.6858,88.91
2018-03-22,LTCEUR,144.79,144.79,129.65,129.65,3.772,491.49
2018-03-21,LTCEUR,140,144.79,137.57,144.79,0.4119,57.85
2018-03-20,LTCEUR,126.21,140,125.5,140,78.22,10762.99
2018-03-19,LTCEUR,126.07,138.59,125.98,126.21,8.511,1085.32
2018-03-18,LTCEUR,130.52,130.52,118.52,126.07,10.52,1271.78
2018-03-17,LTCEUR,140,140,127.95,130.52,2.996,390.99
2018-03-16,LTCEUR,134.65,140,132,140,9.54,1332.0
2018-03-15,LTCEUR,148,148,124.27,134.65,108.68,14070.59
2018-03-14,LTCEUR,152,152,135,148,17.3,2436.53
2018-03-13,LTCEUR,156,156,143.99,152,67.67,9889.0
2018-03-12,LTCEUR,157.89,169.9,146,156,44.03,6769.4
2018-03-11,LTCEUR,150.99,157.89,145,157.89,2.751,413.58
2018-03-10,LTCEUR,148,179.99,148,150.99,23.75,3887.63
2018-03-09,LTCEUR,155.49,155.49,135.5,148,167.69,23693.68
2018-03-08,LTCEUR,154,155.49,148.39,155.49,48.35,7434.78
2018-03-07,LTCEUR,161.01,172.49,146.14,154,21.46,3272.4
2018-03-06,LTCEUR,173,175,156.5,161.01,32.71,5387.58
2018-03-05,LTCEUR,170.42,174.26,170.42,173,3.609,624.38
2018-03-04,LTCEUR,170.02,172.77,169.01,170.42,33.22,5662.45
2018-03-03,LTCEUR,172,176.16,170.02,170.02,24.26,4245.35
2018-03-02,LTCEUR,173.99,173.99,170,172,6.927,1178.68
2018-03-01,LTCEUR,170,177.14,169.76,173.99,15.17,2603.85
2018-02-28,LTCEUR,178.99,180.5,170,170,30.62,5318.02
2018-02-27,LTCEUR,181,181.97,172.01,178.99,20.18,3599.4
2018-02-26,LTCEUR,177,189,172,181,45.6,8390.99
2018-02-25,LTCEUR,168.6,184.57,166.43,177,16.76,2937.48
2018-02-24,LTCEUR,169,173,161,168.6,27.39,4513.08
2018-02-23,LTCEUR,156,176,154.1,169,16.66,2847.22
2018-02-22,LTCEUR,173.99,176.04,152,156,37.45,6120.11
2018-02-21,LTCEUR,185.84,189.36,162.73,173.99,56.54,10057.88
2018-02-20,LTCEUR,181.27,202,181.27,185.84,123.51,24219.83
2018-02-19,LTCEUR,178.02,189.99,169.78,181.27,13.67,2515.87
2018-02-18,LTCEUR,187.14,187.14,166.5,178.02,23.74,4215.54
2018-02-17,LTCEUR,186.5,193.5,180,187.14,56.68,10545.04
2018-02-16,LTCEUR,165.72,194,165.72,186.5,55.86,10287.94
2018-02-15,LTCEUR,170.5,198,165.72,165.72,175.44,32730.34
2018-02-14,LTCEUR,131.64,179.81,130.79,170.5,162.18,25882.2
2018-02-13,LTCEUR,132.5,145.99,124.25,131.64,42.14,5682.61
2018-02-12,LTCEUR,127.71,134.49,111.51,132.5,14.58,1812.1
2018-02-11,LTCEUR,125,129,119,127.71,9.74,1210.99
2018-02-10,LTCEUR,135.3,139,124.2,125,68.75,9251.95
2018-02-09,LTCEUR,125,136,115.88,135.3,111.11,14015.29
2018-02-08,LTCEUR,113,128.89,113,125,42.53,5138.44
2018-02-07,LTCEUR,116.01,135,110,113,31.97,3912.47
2018-02-06,LTCEUR,98.26,120,80,116.01,47.47,4604.26
2018-02-05,LTCEUR,115,126.95,95.5,98.26,216.62,22643.9
2018-02-04,LTCEUR,122,136,111,115,106.53,13686.6
2018-02-03,LTCEUR,105,131,100.94,122,69.3,8184.66
2018-02-02,LTCEUR,118,118,84.1,105,161.06,16467.82
2018-02-01,LTCEUR,133.15,135.99,108.33,118,84.78,10337.74
2018-01-31,LTCEUR,131,147,120,133.15,89.29,12251.05
2018-01-30,LTCEUR,149.9,149.9,128,131,102.29,14512.02
2018-01-29,LTCEUR,153.82,155.36,143.21,149.9,25.68,3826.45
2018-01-28,LTCEUR,145,157.8,141.5,153.82,28.54,4292.8
2018-01-27,LTCEUR,144.51,150,142,145,12.7,1880.38
