Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-06-01,BCHUSD,833,833,833,833,0.0,0.0
2018-05-31,BCHUSD,833,833,833,833,0.0,0.0
2018-05-30,BCHUSD,833,833,833,833,0.01098,9.148
2018-05-29,BCHUSD,920,920,833,833,0.04287,35.71
2018-05-28,BCHUSD,945.11,945.11,920,920,0.2943,274.45
2018-05-27,BCHUSD,945.11,945.11,945.11,945.11,0.0,0.0
2018-05-26,BCHUSD,1044.16,1054.6,945.11,945.11,0.1332,129.42
2018-05-25,BCHUSD,1044.16,1044.16,1044.16,1044.16,0.0,0.0
2018-05-24,BCHUSD,1390,1390,960.64,1044.16,0.9703,969.28
2018-05-23,BCHUSD,1390,1390,1390,1390,0.0,0.0
2018-05-22,BCHUSD,1178.94,1390,1178.94,1390,0.01822,25.27
2018-05-21,BCHUSD,1178.94,1178.94,1178.94,1178.94,0.0,0.0
2018-05-20,BCHUSD,1178.94,1178.94,1178.94,1178.94,0.003812,4.494
2018-05-19,BCHUSD,1178.94,1178.94,1178.94,1178.94,0.0,0.0
2018-05-18,BCHUSD,1220,1220,1148.89,1178.94,0.2496,292.72
2018-05-17,BCHUSD,1287.37,1308.62,1220,1220,0.5388,679.35
2018-05-16,BCHUSD,1331,1351.52,1229,1287.37,8.216,10739.25
2018-05-15,BCHUSD,1397.04,1397.04,1331,1331,0.0006078,0.809
2018-05-14,BCHUSD,1397.04,1397.04,1397.04,1397.04,0.1431,199.86
2018-05-13,BCHUSD,1397.04,1397.04,1397.04,1397.04,0.0,0.0
2018-05-12,BCHUSD,1388.21,1401.81,1306.58,1397.04,0.1653,221.1
2018-05-11,BCHUSD,1402,1658,1388.21,1388.21,0.1297,184.71
2018-05-10,BCHUSD,1402,1402,1402,1402,0.0,0.0
2018-05-09,BCHUSD,1530.73,1660,1402,1402,0.159,247.16
2018-05-08,BCHUSD,1659.13,1799,1401,1530.73,2.908,5012.91
2018-05-07,BCHUSD,1662.48,1799,1533.04,1659.13,0.7719,1326.63
2018-05-06,BCHUSD,1687.06,1744,1662.48,1662.48,1.092,1871.24
2018-05-05,BCHUSD,1460,1687.06,1401,1687.06,0.6922,1105.88
2018-05-04,BCHUSD,1469,1469,1433,1460,0.1716,250.47
2018-05-03,BCHUSD,1399,1475,1359.99,1469,0.4,581.33
2018-05-02,BCHUSD,1216,1399,1216,1399,0.01404,19.64
2018-05-01,BCHUSD,1271,1271,1216,1216,0.07417,90.99
2018-04-30,BCHUSD,1269,1271,1269,1271,0.0013,1.652
2018-04-29,BCHUSD,1400,1400,1263,1269,0.04307,54.4
2018-04-28,BCHUSD,1389.88,1473,1389.87,1400,0.3819,560.38
2018-04-27,BCHUSD,1340,1389.88,1245,1389.88,0.02705,37.51
2018-04-26,BCHUSD,1289.41,1358.7,1284.6,1340,0.1851,245.04
2018-04-25,BCHUSD,1440,1464.79,1214,1289.41,1.079,1408.15
2018-04-24,BCHUSD,1400,1560,1210.1,1440,0.4031,580.94
2018-04-23,BCHUSD,1215,1400,1215,1400,0.9839,1299.61
2018-04-22,BCHUSD,1124,1215.01,1124,1215,0.9638,1154.63
2018-04-21,BCHUSD,1099.61,1124,1038.55,1124,0.4201,461.88
2018-04-20,BCHUSD,971.94,1122,884,1099.61,1.399,1448.34
2018-04-19,BCHUSD,888,971.94,888,971.94,0.597,555.79
2018-04-18,BCHUSD,888,910,877,888,0.1162,103.13
2018-04-17,BCHUSD,781.4,888,605,888,0.3397,229.99
2018-04-16,BCHUSD,781.4,781.4,781.4,781.4,0.0,0.0
2018-04-15,BCHUSD,762.91,781.4,728,781.4,0.03528,27.4
2018-04-14,BCHUSD,766.09,781.4,745.03,762.91,0.8491,642.17
2018-04-13,BCHUSD,767,767,732.44,766.09,2.064,1572.81
2018-04-12,BCHUSD,575,767,575,767,0.04017,30.81
2018-04-11,BCHUSD,575,575,575,575,0.0,0.0
2018-04-10,BCHUSD,575,575,575,575,0.0,0.0
2018-04-09,BCHUSD,786,786,575,575,0.0215,12.36
