Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2019-08-27,EOSUSD,3.429,3.5,3.429,3.5,253.13,874.5
2019-08-26,EOSUSD,3.42,3.549,3.41,3.429,10.1,34.97
2019-08-25,EOSUSD,3.496,3.55,3.42,3.42,129.3,450.29
2019-08-24,EOSUSD,3.4,3.496,3.4,3.496,123.93,423.97
2019-08-23,EOSUSD,3.398,3.5,3.398,3.4,380.52,1309.87
2019-08-22,EOSUSD,3.2,3.442,3.2,3.398,394.84,1323.27
2019-08-21,EOSUSD,3.321,3.472,3.2,3.2,351.63,1196.86
2019-08-20,EOSUSD,3.55,3.55,3.32,3.321,220.36,762.19
2019-08-19,EOSUSD,3.465,3.583,3.413,3.55,119.86,421.77
2019-08-18,EOSUSD,3.419,3.63,3.306,3.465,176.91,606.06
2019-08-17,EOSUSD,3.526,3.69,3.419,3.419,241.22,844.02
2019-08-16,EOSUSD,3.679,3.69,3.495,3.526,23.59,85.54
2019-08-15,EOSUSD,3.565,3.788,3.482,3.679,214.89,786.19
2019-08-14,EOSUSD,3.6,3.787,3.36,3.565,576.63,2102.81
2019-08-13,EOSUSD,3.807,3.85,3.378,3.6,197.62,728.89
2019-08-12,EOSUSD,3.803,3.807,3.724,3.807,76.97,292.31
2019-08-11,EOSUSD,3.67,3.807,3.646,3.803,57.16,213.93
2019-08-10,EOSUSD,3.77,3.871,3.52,3.67,244.53,911.76
2019-08-09,EOSUSD,4.005,4.005,3.77,3.77,55.63,215.89
2019-08-08,EOSUSD,4.005,4.005,3.8,4.005,117.71,461.36
2019-08-07,EOSUSD,3.983,4.082,3.97,4.005,32.28,128.5
2019-08-06,EOSUSD,4.136,4.229,3.97,3.983,223.65,905.8
2019-08-05,EOSUSD,4.076,4.32,4.001,4.136,535.74,2243.52
2019-08-04,EOSUSD,4.087,4.131,3.97,4.076,169.44,684.77
2019-08-03,EOSUSD,4.131,4.25,3.97,4.087,136.62,565.01
2019-08-02,EOSUSD,3.744,4.25,3.744,4.131,326.87,1344.51
2019-08-01,EOSUSD,4.02,4.174,3.744,3.744,250.97,1009.59
