Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2019-09-14,DASHUSD,94.86,96.06,92.86,95,5.619,536.62
2019-09-13,DASHUSD,89.27,101.16,87.16,94.86,14.0,1332.32
2019-09-12,DASHUSD,87.57,95.11,85.37,89.27,6.068,551.9
2019-09-11,DASHUSD,86.35,90.5,86,87.57,6.845,592.66
2019-09-10,DASHUSD,90,92.26,86.35,86.35,1.471,130.14
2019-09-09,DASHUSD,89.32,96.99,86,90,2.904,268.2
2019-09-08,DASHUSD,86.27,90.99,84,89.32,1.238,107.94
2019-09-07,DASHUSD,83.42,86.27,80.04,86.27,1.346,113.04
2019-09-06,DASHUSD,81.51,84.15,79.54,83.42,65.2,5260.12
2019-09-05,DASHUSD,82.12,85.29,81.51,81.51,9.176,749.22
2019-09-04,DASHUSD,86.93,86.93,82.12,82.12,1.961,164.16
2019-09-03,DASHUSD,84.62,86.93,81.88,86.93,36.29,3117.86
2019-09-02,DASHUSD,83.23,86.38,83.23,84.62,7.127,612.66
2019-09-01,DASHUSD,84.59,86.15,83.2,83.23,0.4115,34.44
2019-08-31,DASHUSD,84.38,86.85,83.2,84.59,0.4922,41.54
2019-08-30,DASHUSD,86.95,86.98,83.1,84.38,9.011,759.49
2019-08-29,DASHUSD,89.72,89.82,84,86.95,11.58,1008.99
2019-08-28,DASHUSD,93.29,96.05,88.93,89.72,2.096,190.66
2019-08-27,DASHUSD,94.2,98.11,93.24,93.29,21.81,2130.3
2019-08-26,DASHUSD,95,98.59,94.2,94.2,4.162,405.82
2019-08-25,DASHUSD,95.21,98.93,94.97,95,0.4126,40.68
2019-08-24,DASHUSD,95.11,99.76,94.9,95.21,0.8945,85.31
2019-08-23,DASHUSD,95.69,100.36,95.11,95.11,1.505,149.95
2019-08-22,DASHUSD,94.96,95.69,93.49,95.69,1.387,132.02
2019-08-21,DASHUSD,96.5,97,94,94.96,4.344,413.63
2019-08-20,DASHUSD,101.91,102.81,95.02,96.5,17.59,1676.49
2019-08-19,DASHUSD,98.07,101.91,98.07,101.91,6.367,644.9
2019-08-18,DASHUSD,96.01,100.22,96.01,98.07,0.09448,9.444
2019-08-17,DASHUSD,97.96,101.5,96.01,96.01,0.5378,52.67
2019-08-16,DASHUSD,98.69,102.79,96.76,97.96,2.331,231.83
2019-08-15,DASHUSD,103.81,103.81,94.5,98.69,2.291,226.22
2019-08-14,DASHUSD,103.99,106.76,101.82,103.81,1.454,150.13
2019-08-13,DASHUSD,106.36,110.3,101.87,103.99,5.335,566.38
2019-08-12,DASHUSD,112.96,112.96,103.85,106.36,3.237,343.68
2019-08-11,DASHUSD,101,113.01,101,112.96,9.332,1031.87
2019-08-10,DASHUSD,104,106.9,101,101,0.6388,64.91
2019-08-09,DASHUSD,104.5,104.5,103.42,104,0.7934,82.33
2019-08-08,DASHUSD,106.55,109.59,104.5,104.5,5.726,605.74
2019-08-07,DASHUSD,105.79,109.95,105.78,106.55,2.844,307.57
2019-08-06,DASHUSD,110.5,113.51,105.37,105.79,1.597,173.77
2019-08-05,DASHUSD,107.01,112.5,107.01,110.5,1.819,202.51
2019-08-04,DASHUSD,108.5,109.89,105.37,107.01,1.521,163.88
2019-08-03,DASHUSD,105.34,109.89,105.34,108.5,1.088,119.18
2019-08-02,DASHUSD,107.73,117.88,105.34,105.34,14.9,1638.17
2019-08-01,DASHUSD,110,112.47,107.32,107.73,0.8189,89.52
2019-07-31,DASHUSD,107.6,110.98,105.37,110,8.059,865.35
2019-07-30,DASHUSD,108.42,109.02,107.31,107.6,0.692,74.9
2019-07-29,DASHUSD,112.11,115.14,108.42,108.42,2.714,303.53
2019-07-28,DASHUSD,116.08,116.55,110.14,112.11,0.5379,61.46
2019-07-27,DASHUSD,119.99,123,114.73,116.07,3.917,459.21
2019-07-26,DASHUSD,123.03,123.03,117.77,119.99,1.658,197.96
2019-07-25,DASHUSD,114.44,123.03,114.44,123.03,1.949,229.89
2019-07-24,DASHUSD,115,116.83,113.4,114.44,3.386,387.65
2019-07-23,DASHUSD,117.99,118.57,113.88,115,4.907,571.18
2019-07-22,DASHUSD,124.3,124.3,117.99,117.99,0.6458,78.31
2019-07-21,DASHUSD,119.98,124.3,119.54,124.3,4.015,486.47
2019-07-20,DASHUSD,116.17,124.57,116.17,121.12,13.77,1644.66
2019-07-19,DASHUSD,117.42,117.42,109.64,116.17,6.41,732.91
2019-07-18,DASHUSD,107.91,119.66,104.86,117.42,33.87,3918.8
2019-07-17,DASHUSD,107.99,114.44,102.2,107.91,13.97,1507.12
2019-07-16,DASHUSD,132.11,132.11,107,107.99,17.15,1959.08
2019-07-15,DASHUSD,132.73,132.73,126.3,132.11,2.862,370.4
2019-07-14,DASHUSD,146,146.71,132.73,132.73,2.947,405.63
2019-07-13,DASHUSD,153.62,153.62,144.07,146,0.8802,127.72
2019-07-12,DASHUSD,146.54,157.85,146.54,153.62,2.603,397.14
2019-07-11,DASHUSD,153.21,153.21,146.54,146.54,4.366,646.77
2019-07-10,DASHUSD,156.05,162.97,151.22,153.21,2.931,454.14
2019-07-09,DASHUSD,159.74,163.7,156.05,156.05,5.876,948.93
2019-07-08,DASHUSD,162.15,166,159.74,159.74,5.043,818.31
2019-07-07,DASHUSD,159,164.28,159,162.15,0.1974,32.01
2019-07-06,DASHUSD,159,163.66,159,159,1.929,311.52
2019-07-05,DASHUSD,163.59,163.59,156.89,159,9.722,1540.88
2019-07-04,DASHUSD,162,163.59,159.08,163.59,8.974,1453.15
2019-07-03,DASHUSD,159.15,163.66,157.84,162,1.607,260.17
2019-07-02,DASHUSD,159.73,163.66,151.19,159.15,5.259,818.71
2019-07-01,DASHUSD,166.4,171.49,152.7,159.73,4.334,680.1
2019-06-30,DASHUSD,173.72,177.11,166.4,166.4,0.7208,121.99
2019-06-29,DASHUSD,175.13,178.09,168.65,173.72,2.614,452.59
2019-06-28,DASHUSD,151.86,175.13,151.86,175.13,7.343,1246.22
2019-06-27,DASHUSD,169.97,178.95,151.86,151.86,11.86,1897.02
2019-06-26,DASHUSD,175.55,193.8,165.08,169.97,30.86,5588.49
2019-06-25,DASHUSD,175.4,182,175.4,175.55,1.698,303.6
2019-06-24,DASHUSD,174.34,181.8,174,175.4,3.249,578.98
2019-06-23,DASHUSD,178,181.8,174,174.34,1.647,289.39
2019-06-22,DASHUSD,163,182,163,178,14.59,2583.32
2019-06-21,DASHUSD,162,169.17,162,163,1.596,266.6
2019-06-20,DASHUSD,163.02,168,161,162,4.522,746.64
2019-06-19,DASHUSD,167.85,167.85,161,163.02,0.08355,13.6
2019-06-18,DASHUSD,164.24,167.85,160.13,167.85,2.769,453.83
2019-06-17,DASHUSD,158.6,164.24,158.6,164.24,6.64,1071.34
2019-06-16,DASHUSD,160.28,164,158.6,158.6,1.195,191.33
2019-06-15,DASHUSD,158.14,163.85,158.14,160.28,1.41,229.09
2019-06-14,DASHUSD,160.33,163.78,158.14,158.14,3.391,545.65
2019-06-13,DASHUSD,162.59,165.54,160.01,160.33,8.198,1335.1
2019-06-12,DASHUSD,156.5,159.72,153.99,158.5,6.381,1007.86
2019-06-11,DASHUSD,155.39,157,149.75,156.5,6.931,1068.69
2019-06-10,DASHUSD,149.44,157.5,149.19,155.39,12.06,1862.24
2019-06-09,DASHUSD,150.54,154.7,148.3,149.44,145.67,21891.46
2019-06-08,DASHUSD,154.58,155.9,150.21,150.54,1.33,201.9
2019-06-07,DASHUSD,150.21,157.62,150.21,154.58,10.88,1667.57
2019-06-06,DASHUSD,152.21,159.2,150.21,150.21,97.85,14896.72
2019-06-05,DASHUSD,153,156.06,152.21,152.21,5.654,864.62
2019-06-04,DASHUSD,163.5,164.63,152.21,153,58.12,8869.99
2019-06-03,DASHUSD,165.54,172.56,162.76,163.5,7.613,1283.25
2019-06-02,DASHUSD,172.93,172.93,165.54,165.54,1.715,287.55
2019-06-01,DASHUSD,167.6,172.93,167.6,172.93,2.069,349.32
2019-05-31,DASHUSD,162.33,169,159.78,167.6,10.98,1778.98
2019-05-30,DASHUSD,168.11,175,162.33,162.33,22.49,3882.0
2019-05-29,DASHUSD,166.63,175,165.08,168.11,7.342,1276.16
2019-05-28,DASHUSD,168.77,172.13,162.48,172.13,2.872,484.74
2019-05-27,DASHUSD,160,168.77,157.06,168.77,10.87,1778.03
2019-05-26,DASHUSD,153,161.5,153,160,7.589,1186.41
2019-05-25,DASHUSD,162.16,162.16,152.17,153,1.899,294.86
2019-05-24,DASHUSD,154.29,163,154.29,162.16,6.622,1051.52
2019-05-23,DASHUSD,154.65,154.65,147,154.29,5.107,775.39
2019-05-22,DASHUSD,162.72,167,154.65,154.65,3.925,626.51
2019-05-21,DASHUSD,166.46,167.46,160,162.72,3.909,641.61
