Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume BTC
2018-12-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-12-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2018-11-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
