Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-06-05,ETHUSD,243,254.39,239.98,246.63,8.903,2191.39
2019-06-04,ETHUSD,249.64,266.05,235.36,243,38.46,9310.56
2019-06-03,ETHUSD,266.04,277,248.97,249.64,33.17,8593.64
2019-06-02,ETHUSD,267.01,276.01,265.94,266.04,3.776,1005.11
2019-06-01,ETHUSD,262.16,276,262.14,267.01,2.728,748.59
2019-05-31,ETHUSD,251.36,279.84,241,262.16,32.22,8426.52
2019-05-30,ETHUSD,269.52,287,245.43,251.36,53.99,14809.05
2019-05-29,ETHUSD,273.56,285,262,269.52,44.57,12405.7
2019-05-28,ETHUSD,271.79,274.61,266.06,273.56,98.1,26567.06
2019-05-27,ETHUSD,268.53,277.24,265.71,271.79,126.88,34469.61
2019-05-26,ETHUSD,251.5,273.37,250,268.53,64.47,17169.72
2019-05-25,ETHUSD,274,274,230,251.5,16.61,4111.22
2019-05-24,ETHUSD,246.54,274,243.43,274,33.94,8625.08
2019-05-23,ETHUSD,243.67,266.93,226.75,246.54,26.65,6334.2
2019-05-22,ETHUSD,256,256.63,243.67,243.67,49.79,12611.94
2019-05-21,ETHUSD,250.94,269,250,256,24.55,6354.83
2019-05-20,ETHUSD,253.96,264.78,240.97,250.94,48.63,12014.62
2019-05-19,ETHUSD,240,269.97,240,253.96,63.55,16587.06
2019-05-18,ETHUSD,237.5,260.56,227.35,240,1.451,342.79
2019-05-17,ETHUSD,262.81,266.09,222.01,237.5,211.39,49596.22
2019-05-16,ETHUSD,235.88,280,235.88,262.81,180.44,47293.77
2019-05-15,ETHUSD,226.88,248.52,210.56,235.88,121.98,28675.51
2019-05-14,ETHUSD,199.29,226.88,185,226.88,383.15,79409.56
2019-05-13,ETHUSD,185,208,185,199.29,67.97,13326.27
2019-05-12,ETHUSD,198.28,200,177.3,185,11.5,2157.42
2019-05-11,ETHUSD,172.21,198.28,165,198.28,37.92,7292.79
2019-05-10,ETHUSD,171.16,177.76,171.16,172.21,3.629,636.17
2019-05-09,ETHUSD,169.43,171.16,167.02,171.16,32.15,5442.13
2019-05-08,ETHUSD,167.65,169.43,167.23,169.43,18.61,3122.36
2019-05-07,ETHUSD,173.06,180,167.65,167.65,205.8,35991.87
2019-05-06,ETHUSD,172.75,174.44,157.74,173.06,49.44,8219.59
2019-05-05,ETHUSD,172.29,172.75,153.61,172.75,1.317,214.47
2019-05-04,ETHUSD,164.66,175.03,156.81,172.29,4.492,770.67
2019-05-03,ETHUSD,165.14,167.05,159.39,164.66,8.774,1456.49
2019-05-02,ETHUSD,157,165.14,156.23,165.14,1.524,243.42
2019-05-01,ETHUSD,159.49,161.72,157,157,11.97,1914.37
2019-04-30,ETHUSD,152.47,179,152.47,159.49,9.679,1570.17
2019-04-29,ETHUSD,153.01,153.05,151.39,152.47,1.379,209.64
2019-04-28,ETHUSD,152.17,159.73,152.17,153.01,0.6385,99.84
2019-04-27,ETHUSD,156,156,152.17,152.17,0.303,46.11
2019-04-26,ETHUSD,155.43,162.73,149.89,156,37.08,5692.32
2019-04-25,ETHUSD,162.39,209.9,155.43,155.43,80.31,13366.51
2019-04-24,ETHUSD,170.01,179.65,162.39,162.39,22.19,3688.48
2019-04-23,ETHUSD,175,221.99,170.01,170.01,25.48,4746.79
2019-04-22,ETHUSD,168.13,179.64,168.13,175,1.323,231.88
2019-04-21,ETHUSD,179.97,179.97,168.13,168.13,0.7234,124.49
2019-04-20,ETHUSD,173.87,179.97,171.29,179.97,2.835,494.8
2019-04-19,ETHUSD,175,178,173.87,173.87,4.865,853.07
2019-04-18,ETHUSD,170,175,166.01,175,2.073,359.78
2019-04-17,ETHUSD,170.97,206,168,170,3.852,704.39
2019-04-16,ETHUSD,161,171.97,158.46,170.97,0.4182,69.82
