Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2019-06-03,XEMUSD,0.09512,0.0986,0.09141,0.09157,2004.87,193.13
2019-06-02,XEMUSD,0.09713,0.0986,0.09489,0.09512,1034.49,99.73
2019-06-01,XEMUSD,0.095,0.09862,0.09421,0.09713,1608.1,157.52
2019-05-31,XEMUSD,0.09131,0.1024,0.086,0.095,3303.25,316.24
2019-05-30,XEMUSD,0.09582,0.1027,0.08677,0.09131,9644.75,948.15
2019-05-29,XEMUSD,0.09,0.09582,0.08708,0.09582,3087.43,285.88
2019-05-28,XEMUSD,0.09045,0.09178,0.086,0.09,844.51,75.13
2019-05-27,XEMUSD,0.086,0.09045,0.08418,0.09045,3431.52,305.83
2019-05-26,XEMUSD,0.08174,0.08816,0.08,0.086,2388.88,202.83
2019-05-25,XEMUSD,0.0895,0.0895,0.08174,0.08174,628.17,52.19
2019-05-24,XEMUSD,0.08144,0.09023,0.08144,0.0895,5954.76,518.46
2019-05-23,XEMUSD,0.082,0.082,0.075,0.08144,5775.25,439.2
2019-05-22,XEMUSD,0.08918,0.09189,0.082,0.082,2242.56,188.06
2019-05-21,XEMUSD,0.09154,0.09325,0.08638,0.08918,1873.56,173.1
2019-05-20,XEMUSD,0.09109,0.09271,0.0888,0.09154,618.97,55.81
2019-05-19,XEMUSD,0.08533,0.09582,0.08533,0.09109,1623.51,147.68
