Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2018-10-07,BTCEUR,5680.13,5707.82,5665.34,5699.65,11.28,64085.52
2018-10-06,BTCEUR,5705.52,5705.52,5671.01,5680.13,5.029,28583.68
2018-10-05,BTCEUR,5690.94,5718.15,5672.96,5705.52,11.48,65213.19
2018-10-04,BTCEUR,5596.67,5750.71,5596.67,5690.94,7.109,40520.9
2018-10-03,BTCEUR,5676.84,5676.84,5560,5596.67,15.78,89182.81
2018-10-02,BTCEUR,5734.8,5734.8,5659.33,5676.84,91.12,516257.47
2018-10-01,BTCEUR,5684.65,5750,5554,5734.8,31.85,180257.31
2018-09-30,BTCEUR,5677.48,5709.31,5630.54,5684.65,19.66,111563.57
2018-09-29,BTCEUR,5726.36,5728,5567.95,5677.48,13.03,73489.26
2018-09-28,BTCEUR,5739.39,5826.95,5682.84,5726.36,52.97,302130.49
2018-09-27,BTCEUR,5531.92,5785.88,5496,5739.39,12.83,72351.16
2018-09-26,BTCEUR,5498.01,5582.51,5433.74,5531.92,76.81,424533.24
2018-09-25,BTCEUR,5601,5639.99,5433.74,5498.01,115.98,640339.53
2018-09-24,BTCEUR,5716,5765.83,5585.64,5601,4.045,22751.74
2018-09-23,BTCEUR,5729.6,5778,5613.26,5716,1.718,9798.47
2018-09-22,BTCEUR,5783.99,5784.44,5452.52,5729.6,6.001,33407.96
2018-09-21,BTCEUR,5490.01,5784.43,5490.01,5783.99,54.73,312906.83
2018-09-20,BTCEUR,5476.93,5578.69,5452.51,5490.01,18.55,101371.35
2018-09-19,BTCEUR,5498.87,5600,5380.98,5476.93,69.3,375152.48
2018-09-18,BTCEUR,5375.85,5548.77,5365.56,5498.87,15.24,82922.06
2018-09-17,BTCEUR,5583.07,5640,5365.56,5375.85,80.47,441994.92
2018-09-16,BTCEUR,5665.52,5669,5505.8,5583.07,14.84,82561.09
2018-09-15,BTCEUR,5600,5669.39,5592.71,5665.52,5.551,31108.6
2018-09-14,BTCEUR,5629.78,8310,5500,5600,65.72,375429.92
2018-09-13,BTCEUR,5433.93,5665.93,5433.93,5629.78,37.97,211557.62
2018-09-12,BTCEUR,5490.38,5546.47,5400,5433.93,40.3,218207.18
2018-09-11,BTCEUR,5431,5590,5416.71,5490.38,48.68,264500.29
2018-09-10,BTCEUR,5502.53,5620,5417,5431,13.81,75053.91
2018-09-09,BTCEUR,5385.68,5699.96,5360,5502.53,3.644,20038.81
2018-09-08,BTCEUR,5546.97,5799,5350,5385.68,107.17,590928.3
2018-09-07,BTCEUR,5588.9,5645.9,5492.97,5546.97,1.328,7404.58
2018-09-06,BTCEUR,5925.24,5925.49,5452.45,5588.9,153.15,868601.41
2018-09-05,BTCEUR,6354.81,6400,5925.24,5925.24,68.98,414354.56
2018-09-04,BTCEUR,6268,6400,6268,6354.81,7.583,48012.99
2018-09-03,BTCEUR,6299.77,6325,6204,6268,28.59,179084.24
2018-09-02,BTCEUR,6199.77,6299.77,6141.94,6299.77,0.4563,2842.45
2018-09-01,BTCEUR,6117.6,6257.27,6028.4,6199.77,2.387,14672.28
2018-08-31,BTCEUR,5960,6144,5928.7,6117.6,7.582,45608.0
2018-08-30,BTCEUR,6009.33,6086.69,5743.28,5960,73.12,426868.1
2018-08-29,BTCEUR,6098.98,6100,6005,6009.33,94.53,570748.48
2018-08-28,BTCEUR,5807.74,6099.99,5807.74,6098.98,50.52,304652.65
2018-08-27,BTCEUR,5718,5909.99,5717.22,5807.74,57.27,331159.13
2018-08-26,BTCEUR,5847,5880.68,5690.52,5718,2.107,12104.72
2018-08-25,BTCEUR,5766.8,5914.6,5721.56,5847,1.768,10247.68
2018-08-24,BTCEUR,5644,5810.97,5597.08,5766.8,8.768,49747.76
2018-08-23,BTCEUR,5572.46,5644,5489,5644,21.14,118104.37
2018-08-22,BTCEUR,5675.38,5926.13,5458.44,5572.46,104.93,594490.9
2018-08-21,BTCEUR,5603.91,5709,5550.79,5675.38,49.48,275950.63
2018-08-20,BTCEUR,5620.01,5793.6,5603.91,5603.91,32.4,181918.58
2018-08-19,BTCEUR,5732.55,5742.78,5563.75,5620.01,2.423,13727.76
2018-08-18,BTCEUR,5751.12,5762,5586,5732.55,41.76,236542.2
2018-08-17,BTCEUR,5555,5793.6,5551.63,5751.12,3.39,19355.42
2018-08-16,BTCEUR,5527.99,5760.58,5485.3,5555,66.09,369311.86
2018-08-15,BTCEUR,5538.45,5882.18,5466.12,5527.99,116.9,663292.49
2018-08-14,BTCEUR,5657.78,5657.78,5231.9,5538.45,84.09,453396.64
2018-08-13,BTCEUR,5567.01,5749.98,5404.76,5657.78,123.22,695911.99
2018-08-12,BTCEUR,5778.75,5778.75,5469.11,5567.01,75.33,422393.96
2018-08-11,BTCEUR,5405.02,5793.29,5324.46,5778.75,73.99,406364.79
2018-08-10,BTCEUR,5696.8,5799.99,5320,5405.02,100.21,565006.92
2018-08-09,BTCEUR,5473.19,5801.72,5402.66,5696.8,106.03,590455.32
2018-08-08,BTCEUR,5792.83,5801.71,5309,5473.19,94.23,527921.31
